,product_id,product_category,Price,scrapy_datetime,style_id,color_id,color_name,Fit,Composition,Size,Product safety
0,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Black,Slim fit,"Shell: Cotton 99%, Spandex 1%",,
1,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Black,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
2,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Midnight blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",,
3,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Midnight blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
4,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",,
5,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
6,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Dark denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",,
7,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Dark denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
8,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Light denim blue,Slim fit,"Shell: Cotton 99%, Spandex 1%",,
9,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Light denim blue,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
10,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Dark gray,Slim fit,"Shell: Cotton 99%, Spandex 1%",,
11,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Dark gray,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%",,
12,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Midnight blue,Slim fit,Pocket lining: Cotton 100%,"The model is 189cm/6'2"" and wears a size 32/32",
13,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Midnight blue,Slim fit,"Shell: Cotton 98%, Spandex 2%","The model is 189cm/6'2"" and wears a size 32/32",
14,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 189cm/6'2"" and wears a size 32/32",
15,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Denim blue,Slim fit,"Shell: Cotton 98%, Spandex 2%","The model is 189cm/6'2"" and wears a size 32/32",
16,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Dark denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 189cm/6'2"" and wears a size 32/32",
17,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Dark denim blue,Slim fit,"Shell: Cotton 98%, Spandex 2%","The model is 189cm/6'2"" and wears a size 32/32",
18,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Dark denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 189cm/6'2"" and wears a size 32/32",
19,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Dark denim blue,Slim fit,"Shell: Cotton 98%, Spandex 2%","The model is 189cm/6'2"" and wears a size 32/32",
20,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Light denim blue,Slim fit,Pocket lining: Cotton 100%,"The model is 189cm/6'2"" and wears a size 32/32",
21,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Light denim blue,Slim fit,"Shell: Cotton 98%, Spandex 2%","The model is 189cm/6'2"" and wears a size 32/32",
22,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Dark gray,Slim fit,Pocket lining: Cotton 100%,"The model is 189cm/6'2"" and wears a size 32/32",
23,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Dark gray,Slim fit,"Shell: Cotton 98%, Spandex 2%","The model is 189cm/6'2"" and wears a size 32/32",
24,0985197005,men_jeans_slim,$ 19.99,2021-10-23  15:34:17,0985197,005,Black,Slim fit,"Pocket lining: Polyester 65%, Cotton 35%","The model is 182cm/6'0"" and wears a size 31/32",
